id,advert_id,domain,developer,address,gp,description,entrance_number,floor,area,room_count,flat_number,price,published_at,actualized_at,dataset
1e604b98-cbaf-42d6-ac50-e86bdaad9560,99630,t-dsk.ru,ТДСК,"ул. Монтажников 36, (ГП-4.7), подъезд 1, квартира №129",ГП-4.7,"1-комнатная квартира на улица Монтажников 36, ГП-4.7 1 подъезд",1,18,145.5,1,129,11600000,2023-06-19,2024-05-14,old
ed9be204-2cc9-49ff-b17d-64da1380c1cd,99633,t-dsk.ru,ТДСК,"ул. Монтажников 36, (ГП-4.7), подъезд 1, квартира №132",ГП-4.7,"1-комнатная квартира на улица Монтажников 36, ГП-4.7 1 подъезд",1,18,127.8,1,132,10800000,2023-11-02,2024-05-14,old
5b54eb5a-ec62-4f84-a942-5beafb7df99d,99637,t-dsk.ru,ТДСК,"ул. Монтажников 36, (ГП-4.7), подъезд 1, квартира №136",ГП-4.7,"1-комнатная квартира на улица Монтажников 36, ГП-4.7 1 подъезд",1,19,127.9,1,136,10800000,2023-03-13,2024-05-14,old
28ac5bde-e046-48db-8e0a-1593099e6b1b,321893,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №2",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,1,38.8,1,2,4950000,2023-08-27,2024-05-14,old
c14f9a67-c646-4bcf-883a-b180302b7b2e,321894,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №3",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,1,41.1,1,3,4950000,2023-03-13,2024-05-14,old
e075279d-5c13-4309-b9ba-0edc94e2d654,321897,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №6",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,2,38.8,1,6,4950000,2023-06-19,2024-05-14,old
86282bb4-e6e4-47aa-9ba0-ba57f0e97eec,321899,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №8",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,2,40.1,1,8,4950000,2023-08-27,2024-05-14,old
b668658d-53ba-443f-9538-25f04a6b6621,321902,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №11",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,3,38.9,1,11,4950000,2023-06-01,2024-05-14,old
eae200f7-4c22-4166-b2be-3f2650709b4c,321904,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №13",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,3,40.1,1,13,4950000,2023-03-13,2024-05-14,old
afc19aac-2c6c-4513-9ace-6042e60c90c7,321907,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №16",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,4,38.7,1,16,4950000,2023-03-13,2024-05-14,old
56ec4591-196e-442c-bb45-2284e4a3ad39,321909,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №18",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,4,40.0,1,18,4950000,2023-06-01,2024-05-14,old
878b9bf9-06c9-49bc-8222-53fbefa00ad3,321917,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №26",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,6,38.7,1,26,4950000,2023-06-19,2024-05-14,old
6bdfb39b-fbeb-478a-80a6-7b105e7a9ab1,321919,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №28",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,6,39.9,1,28,4950000,2023-06-19,2024-05-14,old
f1b39979-60a0-419e-ba3e-64bcecc8896e,321924,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №33",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,7,39.9,1,33,4950000,2023-06-19,2024-05-14,old
b9cb23fc-afcb-44c0-b5e6-0e06f591b2e2,321927,t-dsk.ru,ТДСК,"ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №36",ГП-5.2,"1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд",1,8,38.7,1,36,4950000,2023-06-01,2024-05-14,old
